#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-25T22:34:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b58f6c92355f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/810/14/highlat
#-nav=cat:J/ApJ/810/14&tab:{J/ApJ/810/14/highlat}&key:source=J/ApJ/810/14/highlat&HTTPPRM:&&-ref=VIZ5b58f6c92355f&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3FGL&-out=VHE&-out=CName&-out=RAJ2000&-out=DEJ2000&-out=Sep&-out=PosErr&-out=SpCl&-out=z&-out=FRad&-out=n_FRad&-out=FX&-out=Vmag1&-out=Vmag2&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/810/14/highlat
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/810/14/highlat
#-out=3FGL
#-out=VHE
#-out=CName
#-out=RAJ2000
#-out=DEJ2000
#-out=Sep
#-out=PosErr
#-out=SpCl
#-out=z
#-out=FRad
#-out=n_FRad
#-out=FX
#-out=Vmag1
#-out=Vmag2
#

#RESOURCE=yCat_18100014
#Name: J/ApJ/810/14
#Title: Third catalog of LAT-detected AGNs (3LAC) (Ackermann+, 2015)
#Table	J_ApJ_810_14_highlat:
#Name: J/ApJ/810/14/highlat
#Title: High latitude (|b|>10deg) 3LAC full  sample and fluxes
#Column	3FGL	(A13)	3FGL Source Name (JHHMM.m+DDMMa)	[ucd=meta.id;meta.main]
#Column	VHE	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.code]
#Column	CName	(a26)	Name of the counterpart source	[ucd=meta.id.cross]
#Column	RAJ2000	(F9.5)	Radio counterpart right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Radio counterpart declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sep	(F6.3)	[0/0.4] Angular separation with counterpart source	[ucd=meta.id.assoc;pos.angDistance]
#Column	PosErr	(F6.3)	[0/0.6] 95% error radius	[ucd=stat.error;phys.angSize]
#Column	SpCl	(a7)	Optical class (G1)	[ucd=src.class]
#Column	z	(F8.5)	[0.001/3.2]? Redshift	[ucd=src.redshift]
#Column	FRad	(F9.2)	? Radio flux	[ucd=phot.flux.density;em.radio]
#Column	n_FRad	(A1)	Flag on FRad (G4)	[ucd=meta.note]
#Column	FX	(F8.3)	? X-ray flux; units of 1e-13erg/cm2/s	[ucd=phot.flux;em.X-ray]
#Column	Vmag1	(F6.3)	? USNO V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Vmag2	(F6.3)	? SDSS V band magnitude	[ucd=phot.mag;em.opt.V]
3FGL	VHE	CName	RAJ2000	DEJ2000	Sep	PosErr	SpCl	z	FRad	n_FRad	FX	Vmag1	Vmag2
J0056.3-2116 	  0	PMN J0056-2117            	014.13448	-21.28559	 0.054	 0.054	bll    	        	    90.31	N	   7.330	17.111	
J0057.9-0542 	  0	PKS 0055-059              	014.52111	-05.66452	 0.058	 0.147	fsrq   	 1.24560	   742.38	N	        	18.877	18.530
J0058.0-3233 	  0	PKS 0055-328              	014.50929	-32.57243	 0.007	 0.043	bll    	        	   186.41	N	        	19.789	
J0058.3+3315 	  0	MG3 J005830+3311          	014.63362	+33.18811	 0.088	 0.104	fsrq   	 1.36900	   160.67	N	        	19.771	20.040
J0059.1-5701 	  0	PKS 0056-572              	014.69409	-56.98652	 0.066	 0.154	bcu I  	 0.01800	   479.40	S	  27.900	17.145	
J0059.2-0152 	  0	1RXS J005916.3-015030     	014.82053	-01.83824	 0.046	 0.068	bll    	 0.14400	    18.14	N	  21.500	16.298	16.360
J0059.6+0003 	  0	PKS 0056-00               	014.77298	+00.11434	 0.146	 0.212	fsrq   	 0.71900	  2509.48	N	   9.130	17.728	17.440
J0100.2+0745 	  0	GB6 J0100+0745            	015.08661	+07.76428	 0.019	 0.029	bll    	        	    98.88	N	        	      	
J0102.3+4217 	  0	GB6 J0102+4214            	015.61313	+42.23861	 0.052	 0.116	fsrq   	 0.87400	    43.22	N	        	20.623	17.930
J0103.7+1323 	  0	NVSS J010345+132346       	015.94059	+13.39591	 0.003	 0.075	bcu III	        	    51.97	N	        	17.962	17.590
J0105.1-2415 	  0	PKS 0102-245              	016.24252	-24.27457	 0.046	 0.110	fsrq   	 1.74700	   234.66	N	        	19.729	
J0105.3+3928 	  0	GB6 J0105+3928            	016.28832	+39.47092	 0.033	 0.087	bll    	 0.44000	    91.58	N	        	18.034	
J0107.0-1208 	  0	PMN J0107-1211            	016.79912	-12.18993	 0.055	 0.115	bcu II 	        	    59.93	N	        	18.312	
J0108.5-0035 	  0	PKS 0105-008              	017.11184	-00.62338	 0.040	 0.215	fsrq   	 1.37463	   932.84	N	        	17.306	17.150
J0108.7+0134 	  0	4C +01.02                 	017.16155	+01.58342	 0.019	 0.025	fsrq   	 2.09900	  2621.34	N	   4.300	18.779	17.490
J0109.1+1816 	  0	MG1 J010908+1816          	017.28407	+18.26875	 0.006	 0.045	bll    	 0.44300	    90.87	N	  97.500	15.741	16.370
J0109.9-4020 	  0	RBS 0158                  	017.48542	-40.34836	 0.015	 0.049	bll    	 0.31300	    96.00	S	 112.000	18.301	
J0110.9-1254 	  0	1RXS J011050.0-125455     	017.70819	-12.91807	 0.027	 0.075	bll    	 0.23400	    17.50	N	 151.000	16.942	
J0111.5+0535 	  0	1RXS J011130.5+053612     	017.87627	+05.60732	 0.022	 0.081	bll    	 0.34600	    16.66	N	  45.000	19.097	18.090
J0112.1+2245 	  0	S2 0109+22                	018.02427	+22.74411	 0.015	 0.016	bll    	 0.26500	   385.89	N	  47.000	15.621	14.220
J0112.8+3207 	  0	4C 31.03                  	018.20972	+32.13818	 0.011	 0.027	fsrq   	 0.60300	   684.80	N	        	19.023	15.970
J0113.0-3554 	  0	PMN J0112-3552            	018.16110	-35.85790	 0.088	 0.113	bcu II 	        	    77.82	N	        	20.580	
J0113.0-3554 	  0	PMN J0113-3551            	018.31607	-35.86344	 0.061	 0.113	fsrq   	 1.22000	   180.16	N	        	20.267	
J0113.4+4948 	  0	S4 0110+49                	018.36253	+49.80668	 0.010	 0.051	fsrq   	 0.38900	   667.40	N	  29.600	18.826	
J0114.8+1326 	  0	GB6 J0114+1325            	018.71990	+13.42709	 0.008	 0.042	bll    	 0.58300	    64.00	N	        	17.260	16.890
J0115.7+0356 	  0	PMN J0115+0356            	018.91880	+03.94536	 0.018	 0.044	bll    	        	    99.55	N	        	19.670	16.310
J0115.8+2519 	  0	RX J0115.7+2519           	018.94226	+25.33148	 0.012	 0.028	bll    	 0.35800	    38.27	N	  50.300	18.226	16.680
J0116.0-1134 	  0	PKS 0113-118              	019.05218	-11.60429	 0.046	 0.061	fsrq   	 0.67000	  1785.39	N	  17.500	17.556	
J0116.2-2744 	  0	1RXS J011555.6-274428     	018.98141	-27.74207	 0.075	 0.078	bcu III	        	    17.27	N	  21.400	19.720	
J0116.3-6153 	  0	SUMSS J011619-615343      	019.08172	-61.89542	 0.009	 0.042	bll    	        	    26.90	S	        	17.975	
J0117.8-2113 	  0	PKS 0115-214              	019.45325	-21.18518	 0.033	 0.078	fsrq   	 1.49000	   254.77	N	        	      	
J0118.8-2142 	  0	PKS 0116-219              	019.73859	-21.69171	 0.034	 0.035	fsrq   	 1.16500	   447.90	N	   2.500	19.858	
J0118.9-1457 	  0	1RXS J011905.4-145906     	019.76961	-14.98288	 0.042	 0.067	bll    	 0.11470	     5.50	N	  24.100	18.600	
J0120.4-2700 	  0	PKS 0118-272              	020.13193	-27.02351	 0.011	 0.020	bll    	        	   934.77	N	  12.700	16.178	
J0121.7+5154 	  0	NVSS J012133+515557       	020.39026	+51.93258	 0.046	 0.051	bcu III	        	     8.47	N	        	      	
J0122.8+3423 	  0	1ES 0120+340              	020.78565	+34.34650	 0.068	 0.043	bll    	 0.27200	    45.71	N	 614.000	16.887	16.580
J0123.7-2312 	  0	1RXS J012338.2-231100     	020.90979	-23.18319	 0.026	 0.073	bll    	 0.40400	    27.64	N	  90.300	18.166	
J0125.2-0627 	  0	PMN J0124-0624            	021.21036	-06.41693	 0.112	 0.163	bll    	 2.11700	    41.61	N	        	20.436	18.470
J0125.4-2548 	  0	PKS 0122-260              	021.32849	-25.81789	 0.034	 0.086	bll    	        	   166.15	N	        	20.211	
J0126.1-2227 	  0	PKS 0123-226              	021.56251	-22.37600	 0.093	 0.093	fsrq   	 0.72000	   611.99	N	   4.600	18.693	
J0127.1-0818 	  0	PMN J0127-0821            	021.81796	-08.35803	 0.063	 0.071	bll    	 0.36000	   112.62	N	        	18.305	18.040
J0127.2+0325 	  0	NVSS J012713+032259       	021.80803	+03.38303	 0.040	 0.052	bcu II 	        	    16.14	N	        	19.447	16.790
J0127.9+2551 	  0	4C +25.05                 	021.67830	+25.98369	 0.299	 0.399	fsrq   	 2.35800	  1003.13	N	  19.300	17.873	17.710
J0128.5+4430 	  0	GB6 J0128+4439            	022.17225	+44.65499	 0.151	 0.157	fsrq   	 0.22800	    36.94	N	        	20.060	
J0130.8+1441 	  0	4C +14.06                 	022.48061	+14.77995	 0.249	 0.318	fsrq   	 1.62636	   775.52	N	        	19.721	19.130
J0132.5-0802 	  0	PKS 0130-083              	023.17136	-08.06801	 0.040	 0.125	bcu I  	 0.14850	   307.58	N	  46.300	13.912	15.150
J0132.6-1655 	  0	PKS 0130-17               	023.18120	-16.91348	 0.011	 0.041	fsrq   	 1.02000	   830.76	N	        	17.145	
J0133.0-4413 	  0	SUMSS J013306-441422      	023.27654	-44.23928	 0.019	 0.089	bll    	        	    82.30	S	        	18.822	
J0133.2-5159 	  0	PKS 0131-522              	023.27401	-52.00110	 0.032	 0.129	bcu I  	        	  1198.00	A	  17.800	18.923	
J0133.3+4324 	  0	B3 0129+431               	023.18386	+43.42574	 0.114	 0.141	bcu II 	        	   150.97	N	        	19.848	17.830
J0134.3-3842 	  0	PMN J0134-3843            	023.63346	-38.72594	 0.048	 0.096	fsrq   	 2.14000	   569.65	N	        	22.392	
J0134.5+2638 	  0	1RXS J013427.2+263846     	023.61748	+26.64528	 0.014	 0.059	bcu I  	        	    30.57	N	  25.900	16.434	16.460
J0136.5+3905 	  1	B3 0133+388               	024.13583	+39.09978	 0.005	 0.014	bll    	        	    60.64	N	 233.000	16.060	
J0137.0+4752 	  0	OC 457                    	024.24415	+47.85808	 0.020	 0.022	fsrq   	 0.85900	  1138.09	N	        	18.331	17.240
J0137.6-2430 	  0	PKS 0135-247              	024.40978	-24.51497	 0.006	 0.056	fsrq   	 0.83500	  1182.00	N	  20.800	17.094	
J0139.9+8735 	  0	NVSS J013913+873754       	024.80143	+87.63267	 0.034	 0.058	bcu II 	        	    11.56	N	        	      	
J0141.4-0929 	  0	PKS 0139-09               	025.35763	-09.47880	 0.011	 0.033	bll    	 0.73000	   657.47	N	   6.960	17.445	16.570
J0143.7-5845 	  0	SUMSS J014347-584550      	025.94755	-58.76428	 0.010	 0.033	bll    	        	    28.30	S	        	17.457	
J0144.6+2705 	  0	TXS 0141+268              	026.13981	+27.08420	 0.016	 0.021	bll    	        	   217.16	N	        	      	18.030
J0145.1-2732 	  0	PKS 0142-278              	026.26414	-27.55954	 0.036	 0.057	fsrq   	 1.14800	   923.31	N	        	18.065	
J0145.6+8600 	  0	NVSS J014929+860114       	027.39691	+86.02094	 0.071	 0.118	bcu III	        	    96.01	N	        	17.688	
J0146.4-6746 	  0	SUMSS J014554-674646      	026.47925	-67.77978	 0.054	 0.068	bcu II 	        	    36.10	S	        	17.399	
J0147.0-5204 	  0	PKS 0144-522              	026.70242	-52.04268	 0.053	 0.078	bcu I  	 0.09810	   329.30	S	  11.400	12.388	
J0148.6+0128 	  0	PMN J0148+0129            	027.14081	+01.48373	 0.022	 0.052	bll    	 0.94000	    88.36	N	        	19.092	18.920
J0150.5-5447 	  0	PMN J0150-5450            	027.68554	-54.83472	 0.058	 0.085	bcu II 	        	    43.80	S	        	17.826	
J0151.0+0537 	  0	PMN J0151+0540            	027.75753	+05.67620	 0.049	 0.115	bcu II 	        	   175.86	N	        	19.733	19.110
J0151.0-3609 	  0	PMN J0151-3605            	027.86437	-36.10486	 0.099	 0.200	bcu I  	 0.68100	    42.79	N	        	22.847	
J0151.6+2205 	  0	PKS 0149+21               	028.07525	+22.11881	 0.149	 0.178	fsrq   	 1.32000	  1041.69	N	        	19.263	18.390
J0152.2+3707 	  0	B2 0149+37                	028.05092	+37.26824	 0.137	 0.118	bcu I  	 0.76100	   333.95	N	        	19.056	
J0152.6+0148 	  1	PMN J0152+0146            	028.16505	+01.78816	 0.020	 0.038	bll    	 0.08000	    61.97	N	  60.700	11.818	14.280
J0152.8+7517 	  0	1RXS J015308.4+751756     	028.28030	+75.29559	 0.017	 0.037	bll    	        	    21.74	N	  56.200	19.029	
J0154.0+0824 	  0	GB6 J0154+0823            	028.51154	+08.39752	 0.012	 0.028	bll    	 0.68100	   207.22	N	        	17.024	16.490
J0154.9+4433 	  0	GB6 J0154+4433            	028.72695	+44.56055	 0.010	 0.052	bll    	        	    37.69	N	        	19.375	
J0156.3+3913 	  0	MG4 J015630+3913          	029.13088	+39.24192	 0.031	 0.081	bcu II 	        	   159.98	N	        	18.888	
J0156.9-4742 	  0	2MASS J01564603-4744174   	029.19179	-47.73814	 0.042	 0.076	bcu II 	        	    28.70	S	        	17.904	
J0157.0-5301 	  0	1RXS J015658.6-530208     	029.24063	-53.03264	 0.008	 0.044	bll    	        	    43.40	S	  90.300	17.715	
