#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-25T22:14:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b58cf1a11f61	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJS/218/23/table4
#-nav=cat:J/ApJS/218/23&tab:{J/ApJS/218/23/table4}&key:source=J/ApJS/218/23/table4&HTTPPRM:&&-ref=VIZ5b58cf1a11f61&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3FGL&-out=LC&-ignore=LC=*&LC=LC&-out=Na&-out=Sp&-out=RAJ2000&-out=DEJ2000&-out=amaj&-out=amin&-out=phi&-out=Sig&-out=F35&-out=S25&-out=Gamma&-out=Mod&-out=Var&-out=Flag&-out=Assoc&-out=TeV&-out=Class&-out=ID&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/218/23/table4
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/218/23/table4
#-out=3FGL
#-out=LC
#-out=Na
#-out=Sp
#-out=RAJ2000
#-out=DEJ2000
#-out=amaj
#-out=amin
#-out=phi
#-out=Sig
#-out=F35
#-out=S25
#-out=Gamma
#-out=Mod
#-out=Var
#-out=Flag
#-out=Assoc
#-out=TeV
#-out=Class
#-out=ID
#-out=Simbad
#

#RESOURCE=yCat_22180023
#Name: J/ApJS/218/23
#Title: Fermi LAT third source catalog (3FGL) (Acero+, 2015)
#Table	J_ApJS_218_23_table4:
#Name: J/ApJS/218/23/table4
#Title: LAT 4-year catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	3FGL	(A13)	The 3FGL name (1)	[ucd=meta.id;meta.main]
#Column	LC	(A2)	Display the 3FGL light curves image for this object from the Fermi SSC site (updated weekly)	[ucd=meta.ref.url]
#Column	Na	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Sp	(I1)	Number of spectral analyses for this source (table8) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	RAJ2000	(F7.3)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F6.3)	[0.005/1.1]? 95% confidence error ellipse semimajor axis	[ucd=phys.angSize.smajAxis;pos.errorEllipse]
#Column	amin	(F6.3)	[0.005/0.6]? 95% confidence error ellipse semiminor axis	[ucd=phys.angSize.sminAxis;pos.errorEllipse]
#Column	phi	(I3)	[-90/90]? Position angle {phi} of error ellipse (East of North) [NULL integer written as an empty string]	[ucd=pos.posAng]
#Column	Sig	(F6.1)	[4/1049]? Significance (2)	[ucd=stat.fit.goodness]
#Column	F35	(F6.1)	[0/1298] Photon flux summed over 3 bands 1-100GeV (10^-9^ph/cm^2^/s)	[ucd=phot.count;em.gamma.hard]
#Column	S25	(F6.1)	[1.7/8932] Energy flux for 100MeV-100GeV from power-law fit (10^-12^erg/s/cm^2^)	[ucd=phot.flux.density;em.gamma.hard]
#Column	Gamma	(F5.2)	[1.1/5.8] Photon power-law index {Gamma} for 100MeV-100GeV	[ucd=meta.code;spect.index]
#Column	Mod	(A2)	Spectral model used to fit the energy spectrum (PL, EC or LP) (3)	[ucd=instr.setup;meta.modelled]
#Column	Var	(A1)	[T] Variability flag, T=true (4)	[ucd=meta.code;src.var]
#Column	Flag	(a12)	Analysis flag(s); see Table 3	[ucd=meta.code.error]
#Column	Assoc	(A18)	The {gamma}-ray association (5)	[ucd=meta.id.assoc]
#Column	TeV	(A1)	[EP] Extended or Point-like source (6)	[ucd=meta.code]
#Column	Class	(A5)	Astrophysical class of source (7)	[ucd=src.class]
#Column	ID	(a26)	Designator of identified or associated source (8)	[ucd=meta.id.assoc]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	3FGL	LC	Na	Sp	RAJ2000	DEJ2000	amaj	amin	phi	Sig	F35	S25	Gamma	Mod	Var	Flag	Assoc	TeV	Class	ID	Simbad
001.76600	+73.05000	J0007.0+7302 	LC	  6	0	001.766	+73.050	 0.007	 0.007	-67	 288.7	  64.9	 425.6	 1.88	EC	 	            	0FGL J0007.4+7303 	 	     	                          	Simbad
001.76600	+73.05000	J0007.0+7302 	LC	  6	0	001.766	+73.050	 0.007	 0.007	-67	 288.7	  64.9	 425.6	 1.88	EC	 	            	EGR J0008+7308    	 	     	                          	Simbad
001.76600	+73.05000	J0007.0+7302 	LC	  6	0	001.766	+73.050	 0.007	 0.007	-67	 288.7	  64.9	 425.6	 1.88	EC	 	            	1AGL J0006+7311   	 	     	                          	Simbad
001.86900	+17.71100	J0007.4+1742 	LC	  1	0	001.869	+17.711	 0.214	 0.169	-19	   4.6	   0.3	   3.4	 2.31	PL	 	            	                  	 	     	                          	Simbad
001.98300	+40.10700	J0007.9+4006 	LC	  1	0	001.983	+40.107	 0.149	 0.119	-80	   4.5	   0.3	   3.6	 2.28	PL	 	            	                  	 	     	                          	Simbad
002.01700	+47.22800	J0008.0+4713 	LC	  2	0	002.017	+47.228	 0.033	 0.030	-13	  24.7	   2.0	  21.9	 2.02	PL	 	            	1FHL J0007.7+4709 	 	bll  	MG4 J000800+4712          	Simbad
002.01700	+47.22800	J0008.0+4713 	LC	  2	0	002.017	+47.228	 0.033	 0.030	-13	  24.7	   2.0	  21.9	 2.02	PL	 	            	2FGL J0007.8+4713 	 	     	                          	Simbad
002.08800	+14.93400	J0008.3+1456 	LC	  1	0	002.088	+14.934	 0.143	 0.124	 60	   6.5	   0.4	   4.9	 2.27	PL	 	            	1FGL J0008.3+1452 	 	     	                          	Simbad
002.14100	+68.88700	J0008.5+6853 	LC	  2	0	002.141	+68.887	 0.493	 0.454	-79	   8.4	   1.0	   8.8	 2.46	LP	 	1,3,9       	2FGL J0007.7+6825c	 	     	                          	Simbad
002.14100	+68.88700	J0008.5+6853 	LC	  2	0	002.141	+68.887	 0.493	 0.454	-79	   8.4	   1.0	   8.8	 2.46	LP	 	1,3,9       	1FGL J0005.1+6829 	 	     	                          	Simbad
002.17400	-23.67200	J0008.6-2340 	LC	  2	0	002.174	-23.672	 0.074	 0.066	-61	   6.7	   0.2	   3.5	 1.60	PL	 	            	1FHL J0008.7-2340 	 	bll  	RBS 0016                  	Simbad
002.17400	-23.67200	J0008.6-2340 	LC	  2	0	002.174	-23.672	 0.074	 0.066	-61	   6.7	   0.2	   3.5	 1.60	PL	 	            	2FGL J0008.7-2344 	 	     	                          	Simbad
002.19100	+65.96800	J0008.7+6558 	LC	  1	0	002.191	+65.968	 0.119	 0.097	 28	   8.7	   0.7	  13.2	 2.46	LP	 	4,12        	2FGL J0010.5+6556c	 	     	                          	Simbad
002.29500	+06.50500	J0009.1+0630 	LC	  2	0	002.295	+06.505	 0.068	 0.054	-46	   9.0	   0.5	   6.2	 2.18	PL	 	            	2FGL J0009.0+0632 	 	bll  	CRATES J000903.95+062821.5	Simbad
002.29500	+06.50500	J0009.1+0630 	LC	  2	0	002.295	+06.505	 0.068	 0.054	-46	   9.0	   0.5	   6.2	 2.18	PL	 	            	1FGL J0008.9+0635 	 	     	                          	Simbad
002.33400	+50.51000	J0009.3+5030 	LC	  3	0	002.334	+50.510	 0.020	 0.019	 18	  36.5	   3.1	  35.4	 1.93	PL	T	            	1FHL J0009.2+5032 	 	bll  	NVSS J000922+503028       	Simbad
002.33400	+50.51000	J0009.3+5030 	LC	  3	0	002.334	+50.510	 0.020	 0.019	 18	  36.5	   3.1	  35.4	 1.93	PL	T	            	2FGL J0009.1+5030 	 	     	                          	Simbad
002.33400	+50.51000	J0009.3+5030 	LC	  3	0	002.334	+50.510	 0.020	 0.019	 18	  36.5	   3.1	  35.4	 1.93	PL	T	            	1FGL J0009.1+5031 	 	     	                          	Simbad
002.40200	-32.19900	J0009.6-3211 	LC	  1	0	002.402	-32.199	 0.146	 0.136	 19	   5.5	   0.3	   3.4	 2.31	PL	 	1           	2FGL J0009.9-3206 	 	bcu  	IC 1531                   	Simbad
002.62900	-14.42000	J0010.5-1425 	LC	  1	0	002.629	-14.420	 0.215	 0.150	 89	   4.3	   0.2	   3.0	 2.31	PL	 	            	                  	 	     	                          	Simbad
003.11000	+70.67200	J0012.4+7040 	LC	  1	0	003.110	+70.672	 0.119	 0.092	-58	   4.5	   0.4	   6.3	 2.48	PL	 	4           	                  	 	bcu  	TXS 0008+704              	Simbad
003.30400	-39.90800	J0013.2-3954 	LC	  2	0	003.304	-39.908	 0.058	 0.051	 31	  12.0	   0.6	   7.0	 2.21	PL	 	            	2FGL J0012.9-3954 	 	bll  	PKS 0010-401              	Simbad
003.30400	-39.90800	J0013.2-3954 	LC	  2	0	003.304	-39.908	 0.058	 0.051	 31	  12.0	   0.6	   7.0	 2.21	PL	 	            	1FGL J0013.1-3952 	 	     	                          	Simbad
003.47600	-18.89700	J0013.9-1853 	LC	  1	0	003.476	-18.897	 0.062	 0.059	 56	   5.6	   0.2	   2.7	 1.94	PL	 	            	                  	P	bll  	RBS 0030                  	Simbad
003.51500	-50.42900	J0014.0-5025 	LC	  1	0	003.515	-50.429	 0.086	 0.073	-38	   5.7	   0.2	   2.8	 1.92	PL	 	            	1FGL J0013.7-5022 	 	bll  	RBS 0032                  	Simbad
003.58600	-04.92000	J0014.3-0455 	LC	  1	0	003.586	-04.920	 0.127	 0.108	-59	   6.3	   0.4	   6.5	 2.50	PL	 	5           	                  	 	     	                          	Simbad
003.65900	+61.31800	J0014.6+6119 	LC	  1	0	003.659	+61.318	 0.065	 0.057	 20	   7.4	   0.7	   7.8	 1.89	PL	 	            	                  	 	bcu  	4C +60.01                 	Simbad
003.68300	+58.04200	J0014.7+5802 	LC	  1	0	003.683	+58.042	 0.058	 0.052	-72	   5.5	   0.4	   4.3	 1.91	PL	 	            	                  	 	bll  	1RXS J001442.2+580201     	Simbad
003.94100	+55.87500	J0015.7+5552 	LC	  1	0	003.941	+55.875	 0.045	 0.042	-79	   6.4	   0.4	   5.0	 2.11	PL	 	            	                  	 	bcu  	GB6 J0015+5551            	Simbad
004.07800	-00.23000	J0016.3-0013 	LC	  1	0	004.078	-00.230	 0.110	 0.104	 42	  13.6	   0.6	  11.0	 2.62	PL	T	            	2FGL J0017.4-0018 	 	fsrq 	S3 0013-00                	Simbad
004.13500	+17.22100	J0016.5+1713 	LC	  1	0	004.135	+17.221	 0.216	 0.178	 80	   4.1	   0.2	   3.3	 2.44	PL	 	            	1FGL J0016.6+1706 	 	     	                          	Simbad
004.29400	+14.76100	J0017.1+1445 	LC	  1	0	004.294	+14.761	 0.085	 0.080	 88	   4.8	   0.2	   2.9	 1.88	PL	 	            	                  	 	     	                          	Simbad
004.30500	-06.72400	J0017.2-0643 	LC	  1	0	004.305	-06.724	 0.126	 0.103	 68	   6.2	   0.4	   4.3	 2.12	PL	 	            	                  	 	bcu  	PMN J0017-0650            	Simbad
004.40500	-05.20500	J0017.6-0512 	LC	  3	0	004.405	-05.205	 0.071	 0.066	  8	  12.0	   0.8	  11.8	 2.51	PL	T	            	2FGL J0017.6-0510 	 	FSRQ 	PMN J0017-0512            	Simbad
004.40500	-05.20500	J0017.6-0512 	LC	  3	0	004.405	-05.205	 0.071	 0.066	  8	  12.0	   0.8	  11.8	 2.51	PL	T	            	1FGL J0017.4-0510 	 	     	                          	Simbad
004.40500	-05.20500	J0017.6-0512 	LC	  3	0	004.405	-05.205	 0.071	 0.066	  8	  12.0	   0.8	  11.8	 2.51	PL	T	            	0FGL J0017.4-0503 	 	     	                          	Simbad
004.60300	+29.79400	J0018.4+2947 	LC	  3	0	004.603	+29.794	 0.083	 0.074	 68	   5.0	   0.2	   2.5	 1.86	PL	 	            	1FHL J0018.6+2946 	 	bll  	RBS 0042                  	Simbad
004.60300	+29.79400	J0018.4+2947 	LC	  3	0	004.603	+29.794	 0.083	 0.074	 68	   5.0	   0.2	   2.5	 1.86	PL	 	            	2FGL J0018.5+2945 	 	     	                          	Simbad
004.60300	+29.79400	J0018.4+2947 	LC	  3	0	004.603	+29.794	 0.083	 0.074	 68	   5.0	   0.2	   2.5	 1.86	PL	 	            	1FGL J0018.6+2945 	 	     	                          	Simbad
004.74500	-81.87700	J0018.9-8152 	LC	  1	0	004.745	-81.877	 0.058	 0.049	-11	  10.7	   0.7	   7.3	 2.08	PL	T	            	2FGL J0018.8-8154 	 	bll  	PMN J0019-8152            	Simbad
004.79700	-56.75100	J0019.1-5645 	LC	  1	0	004.797	-56.751	 0.117	 0.100	 19	   6.8	   0.3	   3.7	 2.39	PL	 	            	2FGL J0019.4-5645 	 	bcu  	PMN J0019-5641            	Simbad
004.86200	+20.36600	J0019.4+2021 	LC	  1	0	004.862	+20.366	 0.166	 0.105	 82	   5.0	   0.3	   3.5	 2.25	PL	 	            	1FGL J0019.3+2017 	 	bll  	PKS 0017+200              	Simbad
005.23100	+03.39500	J0020.9+0323 	LC	  1	0	005.231	+03.395	 0.058	 0.055	-27	   5.7	   0.2	   3.0	 1.64	PL	 	            	                  	 	     	                          	Simbad
005.41500	-25.88700	J0021.6-2553 	LC	  2	0	005.415	-25.887	 0.057	 0.049	 15	  11.6	   0.6	   6.6	 2.10	PL	 	9           	2FGL J0021.6-2551 	 	bll  	CRATES J002132.55-255049.3	Simbad
005.41500	-25.88700	J0021.6-2553 	LC	  2	0	005.415	-25.887	 0.057	 0.049	 15	  11.6	   0.6	   6.6	 2.10	PL	 	9           	1FGL J0021.7-2556 	 	     	                          	Simbad
005.40900	-68.59200	J0021.6-6835 	LC	  1	0	005.409	-68.592	 0.478	 0.185	 47	   5.4	   0.2	   3.8	 2.65	PL	 	            	                  	 	bcu  	PKS 0021-686              	Simbad
005.53600	-18.92300	J0022.1-1855 	LC	  3	0	005.536	-18.923	 0.033	 0.031	 62	  16.7	   0.9	  11.1	 1.80	PL	 	            	1FHL J0022.2-1853 	 	bll  	1RXS J002209.2-185333     	Simbad
005.53600	-18.92300	J0022.1-1855 	LC	  3	0	005.536	-18.923	 0.033	 0.031	 62	  16.7	   0.9	  11.1	 1.80	PL	 	            	2FGL J0022.2-1853 	 	     	                          	Simbad
005.53600	-18.92300	J0022.1-1855 	LC	  3	0	005.536	-18.923	 0.033	 0.031	 62	  16.7	   0.9	  11.1	 1.80	PL	 	            	1FGL J0022.2-1850 	 	     	                          	Simbad
005.54800	-51.69100	J0022.1-5141 	LC	  1	0	005.548	-51.691	 0.050	 0.045	-76	  13.7	   0.7	   7.9	 1.99	PL	 	            	2FGL J0022.3-5141 	 	bll  	1RXS J002159.2-514028     	Simbad
005.64300	+06.13800	J0022.5+0608 	LC	  3	0	005.643	+06.138	 0.038	 0.034	-82	  28.2	   2.2	  24.0	 2.07	PL	T	            	1FHL J0022.5+0607 	 	bll  	PKS 0019+058              	Simbad
005.64300	+06.13800	J0022.5+0608 	LC	  3	0	005.643	+06.138	 0.038	 0.034	-82	  28.2	   2.2	  24.0	 2.07	PL	T	            	2FGL J0022.5+0607 	 	     	                          	Simbad
005.64300	+06.13800	J0022.5+0608 	LC	  3	0	005.643	+06.138	 0.038	 0.034	-82	  28.2	   2.2	  24.0	 2.07	PL	T	            	1FGL J0022.5+0607 	 	     	                          	Simbad
005.68700	+46.85300	J0022.7+4651 	LC	  1	0	005.687	+46.853	 0.239	 0.188	 63	   4.2	   0.2	   4.2	 2.78	PL	 	            	                  	 	     	                          	Simbad
005.86500	+09.38900	J0023.4+0923 	LC	  2	0	005.865	+09.389	 0.085	 0.079	-87	  13.3	   1.1	   7.3	 2.28	EC	 	            	2FGL J0023.5+0924 	 	PSR  	PSR J0023+0923            	Simbad
005.86500	+09.38900	J0023.4+0923 	LC	  2	0	005.865	+09.389	 0.085	 0.079	-87	  13.3	   1.1	   7.3	 2.28	EC	 	            	1FGL J0023.5+0930 	 	     	                          	Simbad
005.87800	+44.90500	J0023.5+4454 	LC	  2	0	005.878	+44.905	 0.138	 0.109	-87	   9.0	   0.5	   7.4	 2.57	PL	 	            	2FGL J0023.2+4454 	 	fsrq 	B3 0020+446               	Simbad
005.87800	+44.90500	J0023.5+4454 	LC	  2	0	005.878	+44.905	 0.138	 0.109	-87	   9.0	   0.5	   7.4	 2.57	PL	 	            	1FGL J0023.0+4453 	 	     	                          	Simbad
